"date","year","week","case.uk","death.uk","case.sa","death.sa","case.br","death.br","case.in","death.in","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br","mob.bus.in","mob.full.in"
2021-03-28,2021,13,409.209502422005,3.70929039134275,117.167994120915,5.09643300653872,2164.71592070368,91.7925347402126,370.579442457685,2.21459950725853,-41.6904761904762,-7.92857142857143,-13.5714285714286,-6.47619047619048,-33.2380952380952,-20.047619047619,-15.7619047619048,-3.80952380952381
2021-04-04,2021,14,160.599078840982,3.723951618186,100.363089207197,5.02981296723756,2296.37416403569,98.7927494243667,629.76258264111,3.35471081333985,-45.6904761904762,-13.75,-13.8809523809524,-8.05952380952381,-22.5,-14.1547619047619,-9.04761904761905,0.452380952380952
2021-04-11,2021,15,262.333331906307,2.63902083178535,135.788295105589,7.57802947050692,2126.63064054623,95.0683361378041,1030.64187123897,5.67892253977888,-29.7380952380952,-2.30952380952381,-10.5952380952381,-7.97619047619048,-20.8095238095238,-13.0952380952381,-16.2380952380952,-4.38095238095238
2021-04-18,2021,16,252.642260962918,2.30181261439056,144.73203538177,6.89517406767004,1907.17998515067,83.2455436472101,1566.42279292812,10.9330977302333,-25.4761904761905,0.642857142857143,-7.92857142857143,-5.82142857142857,-22.3809523809524,-13.3571428571429,-29,-14.4404761904762
2021-04-25,2021,17,225.19644431235,1.56875127222796,141.101243239856,4.68005776090647,1952.20940350615,79.1846714439191,1872.98797825138,16.7526412090925,-25.6190476190476,-2.71428571428571,-11.952380952381,-4.25,-17.4761904761905,-10.2619047619048,-38.4761904761905,-21.4642857142857
2021-05-02,2021,18,213.467462837748,1.1582369206169,162.952616130637,4.68005776090647,1962.22840235983,69.530169750019,1974.9121982958,19.3299706258759,-30.452380952381,-7.45238095238095,-3.07142857142857,-0.773809523809524,-9.83333333333333,-4.10714285714286,-47.7142857142857,-28.4642857142857
2021-05-09,2021,19,231.075596276494,1.05560833271414,308.400816934894,8.26088487334381,2059.19866598526,62.614069795047,1722.06276943515,20.1462932055622,-25.5952380952381,-3.78571428571429,-6,-3.48809523809524,-9.85714285714286,-4.88095238095238,-51.1904761904762,-30.7738095238095
2021-05-16,2021,20,169.996925247506,0.60111030057333,356.883550536313,9.80980078709578,2153.82773631511,63.053335602998,1331.25121894241,20.8998772124281,-22.7857142857143,-4.13095238095238,-8.04761904761905,-4.55952380952381,-10.8095238095238,-4.97619047619048,-49.5238095238095,-29.7142857142857
2021-05-23,2021,21,300.540489059822,0.865012383751865,441.341105360358,9.84311080674636,1982.1215358114,60.0438975144831,984.107157398726,19.2585784568044,-20.047619047619,0.869047619047619,-3.42857142857143,1.05952380952381,-10.3333333333333,-4.10714285714286,-45.4285714285714,-26.25
2021-05-30,2021,22,450.451533532073,0.894334837438369,539.972073545725,9.42673556111411,2036.6278803214,53.6184668130733,659.50427182309,14.9901921059535,-21.8333333333333,9.15476190476191,-0.833333333333333,4.52380952380952,-13.6428571428571,-3.54761904761905,-35.6666666666667,-17.7380952380952
